Jam,temperature,humidity,light,pH,EC,TDS,WaterTemp,Label,Pattern
9.54,25,99,45190,6.5,960,480,24.8,Selada,1
11.07,26.6,92,55540,6.5,926,459,27.4,Selada,1
12.15,27.7,83,17410,6.3,921,464,28.2,Selada,1
13.15,28.3,99,10200,6.4,954,494,28.2,Selada,1
14.06,27.1,86,17300,6.4,976,490,27.5,Selada,1
15.23,26.8,84,7708,6.3,926,483,26.4,Selada,1
7.36,25.6,95,6473,6.2,880,430,24.5,Selada,1
8.51,24.3,99,10110,6.4,885,433,24.3,Selada,1
9.54,24.6,99,14350,6.5,877,438,24.3,Selada,1
11.01,25,99,21890,6.4,877,438,25,Selada,1
12.02,25.9,99,5863,6.5,855,433,25.5,Selada,1
13.28,25.3,99,2875,6.5,881,440,25.5,Selada,1
14.53,25.3,99,3255,6.5,888,445,24.7,Selada,1
16.35,24.3,99,3400,6.5,887,442,24.3,Selada,1
7.35,23.5,99,10370,6.4,886,433,23.1,Selada,1
8.43,23.9,99,19450,6.4,877,443,23.5,Selada,1
9.55,27.5,77,32400,6.3,877,436,25.5,Selada,1
10.55,27.2,70,32380,6.3,873,436,26.3,Selada,1
11.57,27.4,64,26460,6.3,892,434,27,Selada,1
12.57,27.4,48,127800,6.4,887,447,28.5,Selada,1
14.24,29.1,60,5385,6.5,877,438,29.3,Selada,1
16.42,26.6,87,7817,6.5,892,440,25.7,Selada,1
7.47,23.1,92,9836,6.4,876,430,23,Selada,1
8.54,23.2,76,36290,6.4,884,435,23.1,Selada,1
10.41,24.7,53,73550,6.4,846,449,24.5,Selada,1
11.55,27.7,58,54270,6.5,887,356,27.5,Selada,1
12.57,36.7,52,28230,6.5,890,448,27.2,Selada,1
13.57,37.7,46,27260,6.3,881,424,30.1,Selada,1
14.54,30.4,40,7930,6.4,845,442,31.7,Selada,1
16.18,29.6,47,13460,6.3,873,436,3.6,Selada,1
7.23,22.5,99,4361,6.4,878,424,22.4,Selada,1
8.43,23.6,72,17190,6.4,875,437,24.2,Selada,1
10.15,27.2,52,39570,6.4,841,420,27,Selada,1
11.26,29.4,55,102500,6.4,825,415,26,Selada,1
12.51,30,46,50590,6.2,850,425,31.4,Selada,1
14.11,30,48,46190,6.1,849,424,32,Selada,1
15.15,30,44,16250,6.4,852,426,32.7,Selada,1
16.12,28,54,12350,6.4,895,447,28.3,Selada,1
7.37,23.2,99,7517,6.4,863,431,24.3,Selada,1
8.47,24.4,77,11450,6.3,850,425,26.6,Selada,1
9.37,28.9,61,34590,6.3,839,419,28.7,Selada,1
10.37,28.5,50,138400,6.4,847,423,31,Selada,1
11.37,32.6,41,141500,6.3,853,426,31.6,Selada,1
13.05,29.7,38,158600,6.3,966,483,31,Selada,1
14.05,32.5,35,121400,6.3,916,458,31.9,Selada,1
15.12,34,37,56060,6.3,844,422,34.2,Selada,1
7.38,24.8,99,9099,6.1,860,430,24.6,Selada,1
8.53,25.5,80,19710,6.2,896,448,25.8,Selada,1
9.53,26.9,55,38930,6.1,900,449,26.6,Selada,1
10.58,28.1,50,36400,6.1,904,450,27.4,Selada,1
12.23,30.2,40,179800,6.5,855,427,33.6,Selada,1
13.07,30,38,115000,6.4,898,449,31.2,Selada,1
14.26,33.3,37,139200,6.7,893,446,31.9,Selada,1
15.33,34.1,37,56160,6.6,916,458,34.1,Selada,1
7.31,24.5,99,54710,7.1,1782,864,25.3,Selada,1
8.31,24.7,89,13120,7,1788,894,24.3,Selada,1
8.41,25.2,84,40180,6.6,1832,916,24.7,Selada,1
11.02,26.6,51,16590,6.5,1859,926,26.5,Selada,1
12.06,27.6,53,149900,6.5,1848,924,27.5,Selada,1
13.05,31.6,43,145900,6.5,1826,913,29.5,Selada,1
14.04,30.4,42,146800,6.5,1782,892,31.2,Selada,1
15.11,33.4,45,94160,6.6,1812,906,31.1,Selada,1
8.14,23.6,99,562,6.5,1532,761,22.5,Selada,1
9.23,23.6,99,2747,6.5,1532,761,23.5,Selada,1
10.27,22.6,94,17330,6.5,1520,760,23.1,Selada,1
11.57,25.6,87,28850,6.5,1713,856,24,Selada,1
12.59,25.8,65,141400,6.4,1710,854,26.4,Selada,1
14.15,25.8,57,134000,6.4,1691,845,28,Selada,1
15.08,29.6,59,411470,6.4,1680,840,28.7,Selada,1
16.26,28.4,76,143000,6.4,1705,852,28,Selada,1
7.38,25.1,99,1341,6.4,1690,845,25,Selada,1
8.43,24.5,99,995,6.3,1713,856,24.5,Selada,1
9.44,24.2,99,5291,6.3,1699,849,25,Selada,1
10.55,24.2,86,51170,6.2,1772,886,23.6,Selada,1
12.01,24.7,73,33300,5.9,1710,855,26.7,Selada,1
13.11,25.6,65,147200,5.8,1752,876,26.6,Selada,1
14.12,26.5,55,30650,5.7,1759,897,26.5,Selada,1
15.06,27.9,73,22580,5.9,1750,871,27.9,Selada,1
7.36,24.2,99,920,6.5,1627,813,24,Selada,1
8.35,22.1,99,1987,6.4,1723,866,22.1,Selada,1
9.38,22.9,99,8395,6.6,1714,857,23,Selada,1
10.35,24.6,99,315750,6.6,1674,837,25.8,Selada,1
11.45,26.5,82,19110,6.7,1688,844,26.7,Selada,1
13.05,26.7,67,37740,6.5,1752,876,26.8,Selada,1
14.12,27.8,59,168100,6.8,1657,825,30.4,Selada,1
15.09,28.5,55,14520,6.9,1714,857,28.4,Selada,1
7.36,24.7,99,4828,6.6,1709,852,24.4,Selada,1
8.37,24.7,99,3121,6.7,1713,856,24.1,Selada,1
9.41,24.7,99,5371,6.5,1721,860,24.4,Selada,1
10.58,24.6,99,4882,6.4,1721,860,24.6,Selada,1
12.06,25.8,74,152700,6.5,1678,839,27.2,Selada,1
13.04,25.6,91,4339,6.3,1737,868,25.1,Selada,1
14.03,24.9,93,4979,6.7,1728,864,25,Selada,1
15.09,24.8,94,17900,6.6,1754,877,24.9,Selada,1
7.38,23.6,99,1585,6.6,1555,777,27.6,Selada,1
8.39,24,99,1100,6.5,1705,852,24.1,Selada,1
9.57,26.5,83,21820,6.4,1711,855,25,Selada,1
11.06,26.4,58,69780,6.5,1708,854,28.5,Selada,1
12.06,29.1,60,63180,6.9,1702,851,30.6,Selada,1
13.12,28,70,51820,6.9,1702,851,27.6,Selada,1
14.13,27.4,75,21280,6.8,1785,896,27.9,Selada,1
15.12,29.3,57,21850,7.1,1719,846,29.9,Selada,1
7.33,24,99,7611,6.6,1571,785,24.3,Selada,1
8.34,24.5,89,13850,6.7,1705,852,24.3,Selada,1
9.36,25.1,86,16920,6.5,1754,877,24.9,Selada,1
10.38,25.7,72,38080,6.6,1726,881,25.7,Selada,1
11.42,28,58,58310,6.5,1768,884,27.3,Selada,1
13.52,28,66,22860,6.1,1728,882,29.2,Selada,1
14.05,27.8,66,20880,6.8,1765,882,28.7,Selada,1
16.05,26.8,99,891,6.8,1585,792,25.7,Selada,1
7.33,23.2,99,6317,6.9,1714,857,28.2,Selada,1
8.34,23.3,99,18450,6.9,1746,873,23.7,Selada,1
9.35,25,75,38320,6.9,1745,872,25.2,Selada,1
10.33,25.4,73,36600,6.8,1735,867,26.8,Selada,1
11.42,27.5,59,25080,6.9,1719,859,29.3,Selada,1
13.15,27.3,86,7635,6.8,1822,911,26.8,Selada,1
14.21,26.6,89,6477,6.8,1787,893,27,Selada,1
15.32,26.7,99,5063,6.1,1723,861,28.1,Selada,1
7.32,25.4,99,6480,6.9,1589,860,24,Selada,1
8.14,23.6,99,6498,6.1,1738,869,23.3,Selada,1
9.36,23.6,99,9990,6.1,1729,864,24,Selada,1
10.38,24.5,94,10630,6.5,1746,873,24.5,Selada,1
11.34,26,84,26540,6.6,1705,852,26,Selada,1
12.45,27.7,83,28980,6.3,1744,872,26.6,Selada,1
13.45,27.4,74,33280,6.3,1708,854,28.3,Selada,1
14.38,26.8,79,12620,6.5,1733,866,27.5,Selada,1
7.32,24.5,99,7536,6.5,1730,865,23.3,Selada,1
8.39,23.3,99,14580,6.2,1746,873,23.7,Selada,1
9.34,25,80,31180,6.2,1711,851,25.6,Selada,1
10.32,25.9,58,59830,6.5,1788,894,25.9,Selada,1
11.34,24.3,70,11410,6.9,1731,865,28.1,Selada,1
12.35,26.7,80,23300,6.7,1795,897,26.9,Selada,1
13.44,26.4,91,9918,6.2,1742,871,27.4,Selada,1
14.33,27.2,99,16920,6.4,1769,884,26.1,Selada,1
7.31,23.4,99,7335,6.5,1575,787,23.3,Selada,1
8.32,24.4,92,15430,6.5,1729,864,24.6,Selada,1
9.33,24.9,73,23230,6.5,1771,885,24.3,Selada,1
11.12,26.4,65,32820,6.4,1806,903,25.3,Selada,1
12.12,27.3,56,45370,6.8,1813,906,26.2,Selada,1
13.14,25.4,88,11750,6.8,1795,902,26.1,Selada,1
14.32,27.6,75,28660,6.4,1768,884,27.1,Selada,1
15.32,27.3,76,22970,6.4,1759,879,27.1,Selada,1
7.32,24.3,99,4685,6.3,1597,789,23.8,Selada,1
8.33,23.5,85,12630,6.5,1797,898,23,Selada,1
9.37,27,66,32360,6.8,1710,855,26.3,Selada,1
10.41,28.7,71,21320,6.5,1703,851,27.6,Selada,1
11.45,25.8,78,10460,6.7,1779,898,25.3,Selada,1
12.45,26.1,94,9536,6.6,1806,903,26,Selada,1
13.48,26.2,87,17370,6.7,1788,894,26.9,Selada,1
14.49,27.6,93,21080,6.1,1578,885,25.5,Selada,1
7.33,23,99,2497,5.8,1628,774,23.8,Selada,1
8.38,24.3,91,8976,5.7,1692,846,24,Selada,1
9.42,24.2,67,66570,5.7,1732,868,25,Selada,1
10.43,25.8,60,23720,6.6,1806,903,25.5,Selada,1
11.48,28,68,27430,6.7,1824,912,26,Selada,1
12.46,26,90,17310,6.5,1752,876,26.4,Selada,1
13.56,27.1,60,123100,6.6,1604,802,26.3,Selada,1
15.06,28.6,77,22980,6.5,1581,790,28.3,Selada,1
7.35,23.2,99,6882,6.1,1496,748,23.3,Selada,1
8.34,24.2,88,13560,6.8,1523,761,23.3,Selada,1
9.33,27.5,70,49540,6.8,1518,799,24.5,Selada,1
10.33,26.4,58,106000,6.9,1615,807,27,Selada,1
11.36,28.2,53,55530,6.9,1601,770,28.4,Selada,1
12.45,29.8,51,146900,6.9,1583,791,31,Selada,1
13.47,29.3,54,41990,6.8,1651,826,29.9,Selada,1
14.56,29.1,54,30520,6.9,1641,820,30.3,Selada,1
7.49,24.3,99,11310,6.8,1574,787,23.6,Selada,1
8.32,23.9,92,16870,6.8,1597,798,24.2,Selada,1
9.32,25.4,69,66410,6.1,1635,817,24.7,Selada,1
10.42,27.5,53,47770,6.9,1644,822,27.3,Selada,1
11.47,28.4,52,28450,6.1,1636,816,29.7,Selada,1
12.53,29.1,69,23720,6.1,1621,810,29.4,Selada,1
13.41,31,50,157600,6.5,1570,785,32.3,Selada,1
14.41,32.7,62,9932,6.6,1649,824,30.7,Selada,1
7.34,24.5,99,3843,6.3,1277,638,25.2,Selada,1
8.33,24.7,99,8129,6.5,1359,679,24.5,Selada,1
9.43,25.9,90,27960,6.6,1356,678,25,Selada,1
10.43,26.6,83,30460,6.5,1373,686,25.2,Selada,1
11.52,25.8,99,9929,6.1,1745,872,25.1,Selada,1
12.58,26.5,81,35750,6.8,1462,881,25,Selada,1
13.56,26.7,84,21620,6.8,1762,881,25.4,Selada,1
14.51,30.5,85,13230,6.9,1735,867,26,Selada,1
7.32,23.7,99,10170,6.9,1567,783,24,Selada,1
8.34,24.3,99,11060,6.9,1627,813,24.3,Selada,1
9.39,25.2,90,10120,6.8,1684,842,24.6,Selada,1
10.44,25.9,87,25760,6.9,1648,824,25,Selada,1
11.41,26.5,67,49250,6.8,1569,784,26.4,Selada,1
12.49,26.7,66,34680,6.8,1580,792,27,Selada,1
13.59,30.2,44,50520,6.1,1708,854,28.5,Selada,1
14.43,29,42,80750,6.9,1792,871,28.3,Selada,1
7.33,26.5,99,7554,6.1,1522,776,24.8,Selada,1
8.37,28.2,99,25470,6.1,1540,770,26.7,Selada,1
9.42,29.1,92,17330,6.6,1582,791,25.2,Selada,1
10.45,28.5,80,19570,6.8,1562,784,26.9,Selada,1
11.47,26.4,78,20510,6.5,1573,786,26.1,Selada,1
12.56,28.1,68,53070,6.5,1631,815,26.8,Selada,1
13.58,28.2,59,115500,6.4,1661,830,26.7,Selada,1
15.48,29.2,56,64700,6.5,1632,820,28,Selada,1
7.33,24.7,99,9631,6.7,1386,693,24.8,Selada,1
8.33,24.6,99,8020,6.5,1550,775,23.5,Selada,1
9.33,26,86,45880,6.8,1564,782,23.5,Selada,1
10.38,25.6,68,25050,6.3,1566,783,25.1,Selada,1
11.38,26.5,67,70120,6.6,1595,797,28,Selada,1
12.45,28.3,61,26660,6.8,1585,792,27.6,Selada,1
13.48,28.4,61,17220,6.8,1705,854,28.7,Selada,1
15.03,27.3,75,10360,6.3,1635,817,28.3,Selada,1
7.35,24.8,99,5106,6.4,1488,744,24.8,Selada,1
8.37,24,99,3824,6.3,1561,780,25,Selada,1
9.35,24,99,6163,6.5,1589,792,23.5,Selada,1
10.38,25.7,92,139000,6.8,1568,784,25.1,Selada,1
11.35,29.8,68,14140,6.5,1656,828,28,Selada,1
12.38,29.5,68,13570,6.7,1733,866,27.6,Selada,1
13.33,30.4,65,41800,6.6,1739,869,28.7,Selada,1
14.47,29,78,3258,6.7,1730,869,24,Selada,1
7.33,24.5,99,3395,6.1,1448,724,24.3,Selada,1
8.36,24.4,99,13740,5.8,1507,753,25.9,Selada,1
9.48,25.7,83,28580,5.7,1474,737,26.1,Selada,1
10.47,29.3,78,26640,5.7,1778,889,27.3,Selada,1
11.43,30,69,93000,6.6,1859,929,26.7,Selada,1
12.37,27.7,82,27910,6.7,1944,972,27.2,Selada,1
13.38,28.5,70,17270,6.5,1886,943,27.2,Selada,1
14.28,28.7,55,59010,6.6,1877,938,27.4,Selada,1
7.43,25,99,602,6.5,1582,791,25.5,Selada,1
8.42,24.8,99,1663,6.1,1797,890,24.6,Selada,1
9.45,24.9,99,2321,6.8,1718,859,26.8,Selada,1
10.48,24.9,88,5922,6.8,1788,894,24.9,Selada,1
11.53,25.7,83,4494,6.9,1745,872,25,Selada,1
12.55,25.4,93,1878,6.9,1728,864,25.5,Selada,1
14.12,27.7,84,28220,6.9,1735,867,26.2,Selada,1
15.13,27.3,86,22180,6.8,1769,747,26.3,Selada,1
7.45,24.3,99,9638,6.9,1753,876,25,Selada,1
8.45,25.1,99,14400,6.8,1859,929,23.7,Selada,1
10.07,26.5,82,37120,6.8,1806,903,25.5,Selada,1
11.14,26.6,74,96450,6.1,1795,897,26.3,Selada,1
12.27,27.2,84,17170,6.9,1787,893,26.6,Selada,1
13.27,25.8,97,41030,6.1,1832,916,25.1,Selada,1
14.59,27.1,91,11220,6.1,1659,825,27.9,Selada,1
16.05,27.2,98,4099,6.5,1561,780,27.5,Selada,1
8.01,24.4,99,14190,6.6,1707,856,24.3,Selada,1
9.02,24.5,99,16210,6.3,1713,856,24.5,Selada,1
10.12,24.8,89,25890,6.3,1713,853,25.3,Selada,1
15.41,31.8,67,17660,6.3,855,427,28.7,Selada,1
17.23,28.6,80,86930,6.2,929,464,26.9,Selada,1
7.31,26.1,0,23320,6.4,900,449,24.3,Selada,1
9.15,26.1,0,32280,6.5,887,443,27.1,Selada,1
10.37,26.3,0,41750,6.4,967,482,25.6,Selada,1
11.39,28,0,50670,6.5,964,482,26.8,Selada,1
12.43,27.3,0,24310,6.5,998,499,27,Selada,1
13.59,27.1,0,17720,6.5,987,499,26.5,Selada,1
15.41,25.9,0,1168,6.5,976,490,26.5,Selada,1
17.06,25.6,0,3613,6.4,953,463,26.1,Selada,1
7.45,25.1,0,8799,6.4,952,476,24.4,Selada,1
9.13,24.8,0,5550,6.3,967,483,24.6,Selada,1
10.21,26.4,0,38410,6.3,972,486,26,Selada,1
11.32,26.3,0,11330,6.3,976,488,26.6,Selada,1
12.43,26.3,0,10870,6.4,983,493,26.1,Selada,1
14.15,27.7,78,31590,6.5,998,499,28.1,Selada,1
15.14,26.8,89,1633,6.3,964,483,27.2,Selada,1
16.3,26.6,90,2100,6.3,972,507,26.1,Selada,1
7.36,24.8,99,6623,6.5,918,459,24.2,Selada,1
8.53,25.1,99,8735,6.5,918,459,24.5,Selada,1
10.01,25.5,75,11480,6.2,915,457,25.5,Selada,1
11.08,26.6,73,20430,6.2,915,465,26.4,Selada,1
12.11,27.6,59,19890,6.5,929,482,26.9,Selada,1
13.24,27,86,14360,6.9,952,459,27.7,Selada,1
14.37,27.3,89,10550,6.7,929,464,27.2,Selada,1
15.38,28.4,99,4673,6.2,922,476,27,Selada,1
7.42,24.2,99,7705,6.4,900,450,24.2,Selada,1
9.12,25.6,99,18120,6.5,915,457,24.8,Selada,1
10.22,26.5,99,24690,6.5,926,478,26.6,Selada,1
11.32,26.5,99,51750,6.5,914,460,28.1,Selada,1
12.41,28.5,84,41690,6.4,967,483,28.4,Selada,1
1358,28.5,83,37820,6.8,905,462,28,Selada,1
15.13,27.7,74,6650,6.8,952,478,27.1,Selada,1
16.28,25.5,79,10930,6.4,922,463,27.5,Selada,1
7.38,24.9,99,2243,6.4,915,454,24.3,Selada,1
8.55,24.6,99,1542,6.3,915,457,24.5,Selada,1
9.53,24.4,80,2116,6.5,918,461,25,Selada,1
11.03,24.9,58,11450,6.4,911,461,24.7,Selada,1
12.05,25.2,70,9097,6.2,918,459,25.5,Selada,1
13.33,25.2,80,8390,6.3,956,478,25.4,Selada,1
14.49,25.5,91,11440,6.5,915,455,25,Selada,1
16.32,25.5,99,9184,6.5,984,459,25.3,Selada,1
7.32,24,99,4120,6.2,908,454,24.2,Selada,1
8.42,24.3,92,13060,6.3,915,457,26.4,Selada,1
9.49,25.5,73,45190,6.5,960,480,26.7,Selada,1
10.57,26.5,65,55540,6.5,926,459,27.5,Selada,1
11.59,27.9,56,17410,6.3,921,464,28.4,Selada,1
12.58,28.3,88,10200,6.4,954,494,28.3,Selada,1
14.25,27.2,75,17300,6.4,976,490,27.4,Selada,1
16.38,26.8,76,7708,6.3,926,483,26.7,Selada,1
7.58,24.9,99,6473,6.2,880,430,23.9,Selada,1
8.57,24.3,85,10110,6.4,885,433,24.2,Selada,1
10.43,24.6,66,14350,6.5,877,438,24.3,Selada,1
11.58,25.2,71,21890,6.4,877,438,25.1,Selada,1
12.56,25.9,94,5863,6.5,855,433,25.5,Selada,1
13.58,25.3,78,2875,6.5,881,440,25.5,Selada,1
14.56,25.3,87,3255,6.5,888,445,24.8,Selada,1
16.21,24.3,93,3400,6.5,887,442,24.3,Selada,1
7.32,23.5,99,10370,6.4,886,433,23,Selada,1
8.43,23.8,91,19450,6.4,877,443,23.4,Selada,1
9.52,27.5,67,32400,6.3,877,436,25.5,Selada,1
10.55,27.1,60,32380,6.3,873,436,26.2,Selada,1
11.57,27.4,68,26460,6.3,892,434,27,Selada,1
12.57,27.5,90,127800,6.4,887,447,28,Selada,1
14.24,28.5,60,5385,6.5,905,462,28.7,Selada,1
16.43,26.6,77,7817,6.5,952,478,26,Selada,1
7.47,23.2,99,9836,6.4,922,463,22.6,Selada,1
8.54,23.3,88,36290,6.4,915,454,23,Selada,1
10.41,24.7,70,73550,6.4,915,457,24.7,Selada,1
11.55,27.9,58,54270,6.5,918,461,27.5,Selada,1
12.57,27.6,53,28230,6.5,911,461,27.5,Selada,1
13.57,37.6,51,27260,6.3,881,424,30,Selada,1
14.54,30.5,54,7930,6.4,845,442,31,Selada,1
16.18,29.6,54,13460,6.3,873,436,28.9,Selada,1
7.23,22.5,99,4361,6.4,878,424,22.1,Selada,1
8.43,23.7,92,17190,6.4,972,507,24.1,Selada,1
10.15,27.3,69,39570,6.4,918,459,26.3,Selada,1
11.26,29.5,53,102500,6.4,918,459,31,Selada,1
12.51,30,52,50590,6.2,915,457,31.2,Selada,1
14.11,29.9,69,46190,6.1,915,465,31.3,Selada,1
15.12,30,50,16250,6.4,929,482,32.2,Selada,1
16.13,28,62,12350,6.4,952,459,29.8,Selada,1
7.37,23.2,99,7517,6.4,863,431,23.9,Selada,1
8.47,24.5,99,11450,6.3,850,425,26,Selada,1
9.35,28.9,90,34590,6.3,839,419,27.9,Selada,1
10.37,28.6,87,138400,6.4,847,423,30.4,Selada,1
11.37,32.7,67,141500,6.3,853,426,31.5,Selada,1
13.26,30,66,158600,6.3,966,483,31.4,Selada,1
14.05,32.6,44,121400,6.3,855,427,32.6,Selada,1
15.14,34.3,42,56060,6.3,929,464,34.1,Selada,1
7.38,24.8,99,9099,6.1,900,449,24.1,Selada,1
8.53,25.5,99,19710,6.2,887,443,24.8,Selada,1
9.53,27,92,38930,6.1,967,482,26.3,Selada,1
10.58,28.2,80,36400,6.1,964,482,27.3,Selada,1
12.23,30.3,78,179800,6.5,998,499,33.1,Selada,1
13.24,30.4,68,115000,6.4,987,499,31.5,Selada,1
14.26,33.4,59,139200,6.7,976,490,32.5,Selada,1
15.33,34.1,56,56160,6.6,953,463,32.5,Selada,1
7.31,25.2,99,54710,7.1,1782,864,24.5,Selada,1
8.31,26.5,99,13120,7,1788,894,26.6,Selada,1
8.41,28.6,86,40180,6.6,1832,916,28.6,Selada,1
11.02,31.2,68,16590,6.5,1859,926,30.1,Selada,1
12.06,32.7,67,149900,6.5,1848,924,30.4,Selada,1
13.05,31.7,61,145900,6.5,1826,913,32.3,Selada,1
14.04,32.3,61,146800,6.5,1782,892,32.2,Selada,1
15.11,31.8,75,94160,6.6,1812,906,31.6,Selada,1
8.14,24.5,99,562,6.5,1532,761,23.8,Selada,1
9.26,24.9,99,2747,6.5,1730,869,24,Selada,1
10.27,25.6,99,17330,6.5,1448,724,24.9,Selada,1
11.57,26.8,92,28850,6.5,1507,753,27.4,Selada,1
12.59,27.8,68,141400,6.4,1474,737,28,Selada,1
14.17,31.8,68,134000,6.4,1778,889,29.8,Selada,1
15.08,30.6,65,411470,6.4,1859,929,31.5,Selada,1
16.26,33.5,78,143000,6.4,1944,972,31.4,Selada,1
7.38,23.3,99,1341,6.4,1886,943,22.9,Selada,1
8.43,23.6,99,995,6.3,1877,938,23,Selada,1
9.44,22.7,83,5291,6.3,1582,791,23,Selada,1
10.55,25.6,78,51170,6.2,1797,890,24,Selada,1
12.01,25.9,69,33300,5.9,1782,864,26,Selada,1
13.11,28.9,82,147200,5.8,1788,894,27.3,Selada,1
14.12,29.6,70,30650,5.7,1832,916,27.6,Selada,1
15.06,28.4,55,22580,5.9,1859,926,27.7,Selada,1
7.36,25,99,920,6.5,1627,813,24.1,Selada,1
8.35,24.4,99,1987,6.4,1723,866,24.1,Selada,1
9.38,24.3,99,8395,6.6,1714,857,24.5,Selada,1
10.35,24.7,88,315750,6.6,1674,837,23.7,Selada,1
11.45,25,83,19110,6.7,1688,844,26.2,Selada,1
13.05,25.8,93,37740,6.5,1752,876,26.7,Selada,1
14.12,26.6,84,168100,6.8,1657,825,26.6,Selada,1
15.09,27.9,86,14520,6.9,1714,857,27.8,Selada,1
7.36,24.2,99,4828,6.6,1709,852,23.4,Selada,1
8.37,22.1,99,3121,6.7,1713,856,22.2,Selada,1
9.45,22.9,82,5371,6.5,1721,860,22.9,Selada,1
10.58,24.6,74,4882,6.4,1721,860,25.1,Selada,1
12.06,26.5,84,152700,6.5,1678,839,26.2,Selada,1
13.04,26.7,97,4339,6.3,1737,868,27,Selada,1
14.03,27.8,91,4979,6.7,1728,864,29.4,Selada,1
15.09,28.5,98,17900,6.6,1754,877,27.9,Selada,1
7.38,24.7,99,1585,6.6,1555,777,23.8,Selada,1
8.39,24.7,99,1100,6.5,1705,852,23.9,Selada,1
9.57,24.8,83,21820,6.4,1711,855,24.2,Selada,1
11.06,24.6,58,69780,6.5,1708,854,24.4,Selada,1
12.11,26,60,63180,6.9,1702,851,26.6,Selada,1
13.12,25.5,70,51820,6.9,1702,851,25.1,Selada,1
14.13,25,75,21280,6.8,1785,896,25,Selada,1
15.13,24.8,57,21850,7.1,1719,846,25,Selada,1
7.33,23.6,99,7611,6.6,1571,785,25.3,Selada,1
8.34,24.1,89,13850,6.7,1705,852,24.3,Selada,1
9.36,27.6,86,16920,6.5,1754,877,24.9,Selada,1
10.38,26.6,72,38080,6.6,1726,881,28.3,Selada,1
11.45,29.3,58,58310,6.5,1768,884,29.7,Selada,1
13.56,28,66,22860,6.1,1728,882,27.9,Selada,1
14.05,29.3,66,20880,6.8,1765,882,28.3,Selada,1
16.05,27.6,99,891,6.8,1585,792,29.9,Selada,1
7.33,24,99,6317,6.9,1714,857,23.8,Selada,1
8.34,24.5,99,18450,6.9,1746,873,24.4,Selada,1
9.35,25.1,75,38320,6.9,1745,872,25,Selada,1
10.33,25.7,73,36600,6.8,1735,867,26.3,Selada,1
11.42,28,59,25080,6.9,1719,859,28.3,Selada,1
13.15,28.7,86,7635,6.8,1822,911,29.3,Selada,1
14.21,27.7,89,6477,6.8,1787,893,29.2,Selada,1
15.32,26.8,99,5063,6.1,1723,861,25.6,Selada,1
7.35,23.2,99,6480,6.9,1589,860,22.8,Selada,1
8.14,23.3,99,6498,6.1,1738,869,23.5,Selada,1
